"Percentage of charging events","private","public","workplace"
0,99.9,99.8,95.7
1,73.4,63.6,48.2
2,68.0979999999996,56,41
3,64.4,50.4,37
4,61.7,45.6,34.1
5,59.6,41.6,31.9
6,57.7,38.3,30.3
7,56,35.3,29.1
8,54.4,32.9,28
9,52.9,30.8,27
10,51.4,29,26.1
11,50.1,27.4,25.3
12,48.9,26,24.5
13,47.7,24.6,23.7
14,46.7,23.4,23
15,45.6,22.2,22.3
16,44.5,21.1,21.6
17,43.4,20,21
18,42.5,19,20.3
19,41.4,18.1,19.8
20,40.4,17.2,19.2
21,39.4,16.4,18.7
22,38.4,15.6,18.1
23,37.4,15,17.6
24,36.6,14.3,17.1
25,35.8,13.8,16.7
26,34.9,13.2,16.2
27,34.1,12.7,15.7
28,33.3719999999998,12.2,15.3
29,32.6,11.7,14.9
30,31.9,11.3,14.4
31,31.1,10.8,14.1
32,30.3,10.4,13.7
33,29.6,10,13.3
34,28.9,9.7,12.9
35,28.2,9.5,12.6
36,27.5,9.3,12.3
37,26.9,9.1,11.9
38,26.2,8.9,11.6
39,25.6,8.8,11.3
40,24.9,8.6,10.9
41,24.3,8.5,10.5
42,23.7,8.3,10.1
43,23.2,8.2,9.8
44,22.6,8,9.7
45,22.1,7.9,9.5
46,21.5,7.7,9.4
47,21,7.6,9.2
48,20.4,7.5,9.1
49,19.9,7.3,9
50,19.4,7.2,8.8
51,18.9,7.1,8.7
52,18.5,7,8.6
53,18,6.9,8.5
54,17.6,6.8,8.3
55,17.1,6.7,8.2
56,16.6,6.6,8
57,16.1,6.5,7.9
58,15.6,6.4,7.7
59,15.1,6.3,7.6
60,14.6,6.2,7.4
61,14.2,6.1,7.3
62,13.7,6,7.1
63,13.2,5.9,7
64,12.8,5.8,6.9
65,12.3,5.6,6.8
66,11.9,5.5,6.6
67,11.5,5.3,6.5
68,11,5.2,6.4
69,10.6,5.1,6.3
70,10.1,4.9,6.2
71,9.7,4.8,6
72,9.3,4.6,5.9
73,8.9,4.5,5.8
74,8.5,4.3,5.6
75,8.2,4.2,5.4
76,7.8,4,5.3
77,7.5,3.9,5.1
78,7.2,3.7,5
79,6.9,3.5,4.8
80,6.6,3.4,4.7
81,6.3,3.2,4.5
82,5.9,3,4.3
83,5.6,2.8,4.2
84,5.3,2.7,4
85,5,2.5,3.8
86,4.6,2.4,3.6
87,4.3,2.2,3.3
88,4,2,3.1
89,3.6,1.8,2.8
90,3.3,1.6,2.7
91,2.9,1.5,2.6
92,2.6,1.3,2.4
93,2.2,1.1,2.1
94,2,0.8,1.8
95,1.8,0.6,1.4
96,1.5,0.4,1
97,1.3,0,0.5
98,1,0,0.2
99,0.6,0,0
100,0,0,0
