,run,run,total_ev_served,total_ev_served,total_profits,total_profits,total_energy_charged,total_energy_charged,total_energy_discharged,total_energy_discharged,average_user_satisfaction,average_user_satisfaction,power_tracker_violation,power_tracker_violation,tracking_error,tracking_error,energy_user_satisfaction,energy_user_satisfaction,total_transformer_overload,total_transformer_overload,battery_degradation,battery_degradation,battery_degradation_calendar,battery_degradation_calendar,battery_degradation_cycling,battery_degradation_cycling
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Algorithm,,,,,,,,,,,,,,,,,,,,,,,,,,
ARS,499.5,288.8194360957494,26.0,0.0,-98.61501672473518,0.0,480.7453106457083,0.0,0.0,0.0,0.9846681025616034,0.0,0.00047344468196008904,0.0,5650.873219572259,0.0,97.75918422054201,0.0,0.0,0.0,0.02232822446323288,0.0,0.0003937288817077901,0.0,0.02193449558152509,0.0
ChargeAsFastAsPossible,499.5,288.8194360957494,30.02,3.3176206242737587,-102.65360458571146,14.169958163449886,477.5902486782682,65.36240893644278,0.0,0.0,1.0,0.0,767.2564025773355,122.9369387851345,34177.870114793455,11387.848689478311,100.0,0.0,36.625770301811116,67.87568592532138,0.021115287447191634,0.0029376032718037106,0.0004690191422367248,5.444735599536914e-05,0.020646268304954907,0.002902310735958992
ChargeAsLateAsPossible,499.5,288.8194360957494,30.02,3.3176206242737587,-96.59348042264179,13.21692675094387,477.5902486782682,65.36240893644278,0.0,0.0,1.0,0.0,842.9565643076368,141.5029670947414,125176.9572865577,42511.81896779862,100.0,0.0,759.0578425969202,365.0165042664653,0.021074776470123208,0.0029328849219865676,0.00042850816516829963,4.9793774117992137e-05,0.020646268304954907,0.002902310735958992
DDPG,499.5,288.8194360957494,26.0,0.0,-98.61501672473518,0.0,480.7453106457083,0.0,0.0,0.0,0.9846681025616034,0.0,0.00047344468196008904,0.0,5650.873219572259,0.0,97.75918422054201,0.0,0.0,0.0,0.02232822446323288,0.0,0.0003937288817077901,0.0,0.02193449558152509,0.0
PPO,499.5,288.8194360957494,26.0,0.0,-98.61501672473518,0.0,480.7453106457083,0.0,0.0,0.0,0.9846681025616034,0.0,0.00047344468196008904,0.0,5650.873219572259,0.0,97.75918422054201,0.0,0.0,0.0,0.02232822446323288,0.0,0.0003937288817077901,0.0,0.02193449558152509,0.0
PowerTrackingErrorrMin,499.5,288.8194360957494,30.02,3.3176206242737587,-98.13478180541038,13.501808150370303,477.53714785742244,65.35366386117173,0.0,0.0,0.9999684435748868,0.00017705115757262773,3.001511354892017e-07,9.49161230431675e-06,1618.2005651588045,639.760365053551,99.99643642770586,0.019085702070477505,0.0,0.0,0.02104742808264354,0.002927635902559943,0.00044543783557062845,5.176161249328267e-05,0.02060199024707291,0.0028953781545706884
RoundRobin,499.5,288.8194360957494,30.02,3.3176206242737587,-93.93050561753938,13.445818851538645,452.1363826863875,64.28208671081818,0.0,0.0,0.9839486136230939,0.00687599113662917,0.00044441065530980106,0.0002906240885218435,4583.266213233866,1356.0812027715244,98.30158347135226,0.6679060145830592,0.0,0.0,0.0206897356972167,0.002907994394754696,0.0004533162998417997,5.264643807521859e-05,0.0202364193973749,0.0028747138353671558
TD3,499.5,288.8194360957494,26.0,0.0,-98.61501672473518,0.0,480.7453106457083,0.0,0.0,0.0,0.9846681025616034,0.0,0.00047344468196008904,0.0,5650.873219572259,0.0,97.75918422054201,0.0,0.0,0.0,0.02232822446323288,0.0,0.0003937288817077901,0.0,0.02193449558152509,0.0
